EOF

1		class	CLASS

1		Client	IDENTIFIER

1		{	LBRACE

2		int	INT

2		in	IDENTIFIER

2		;	SEMI

3		int	INT

3		out	IDENTIFIER

3		;	SEMI

4		int	INT

4		[	LBRACKET

4		]	RBRACKET

4		messagelist	IDENTIFIER

4		;	SEMI

5		int	INT

5		index	IDENTIFIER

5		;	SEMI

6		public	PUBLIC

6		boolean	BOOLEAN

6		init	IDENTIFIER

6		(	LPAREN

6		)	RPAREN

6		{	LBRACE

7		index	IDENTIFIER

7		=	EQ

7		0	INTEGERLITERAL

7		;	SEMI

8		messagelist	IDENTIFIER

8		=	EQ

8		new	NEW

8		int	INT

8		[	LBRACKET

8		10	INTEGERLITERAL

8		]	RBRACKET

8		;	SEMI

9		in	IDENTIFIER

9		=	EQ

9		0	INTEGERLITERAL

9		;	SEMI

10		out	IDENTIFIER

10		=	EQ

10		0	INTEGERLITERAL

10		;	SEMI

11		return	RETURN

11		true	TRUE

11		;	SEMI

12		}	RBRACE

13		public	PUBLIC

13		int	INT

13		run	IDENTIFIER

13		(	LPAREN

13		int	INT

13		host	IDENTIFIER

13		,	COMMA

13		int	INT

13		port	IDENTIFIER

13		)	RPAREN

13		{	LBRACE

14		int	INT

14		handle	IDENTIFIER

14		;	SEMI

15		handle	IDENTIFIER

15		=	EQ

15		this	THIS

15		.	DOT

15		Juggling	IDENTIFIER

15		(	LPAREN

15		)	RPAREN

15		;	SEMI

17		}	RBRACE

19		public	PUBLIC

19		int	INT

19		getMsg	IDENTIFIER

19		(	LPAREN

19		)	RPAREN

19		{	LBRACE

20		int	INT

20		tmp	IDENTIFIER

20		;	SEMI

21		tmp	IDENTIFIER

21		=	EQ

21		messagelist	IDENTIFIER

21		.	DOT

21		length	LENGTH

21		;	SEMI

22		if	IF

22		(	LPAREN

22		this	THIS

22		.	DOT

22		isVoid	IDENTIFIER

22		(	LPAREN

22		)	RPAREN

22		)	RPAREN

22		{	LBRACE

23		tmp	IDENTIFIER

23		=	EQ

23		tmp	IDENTIFIER

23		-	SUB

23		1	INTEGERLITERAL

23		;	SEMI

24		}	RBRACE

25		else	ELSE

25		{	LBRACE

26		tmp	IDENTIFIER

26		=	EQ

26		tmp	IDENTIFIER

26		*	STAR

26		2	INTEGERLITERAL

26		;	SEMI

27		}	RBRACE

28		if	IF

28		(	LPAREN

28		index	IDENTIFIER

28		<	LT

28		10	INTEGERLITERAL

28		)	RPAREN

28		{	LBRACE

29		messagelist	IDENTIFIER

29		[	LBRACKET

29		index	IDENTIFIER

29		]	RBRACKET

29		=	EQ

29		tmp	IDENTIFIER

29		;	SEMI

30		index	IDENTIFIER

30		=	EQ

30		index	IDENTIFIER

30		+	PLUS

30		1	INTEGERLITERAL

30		;	SEMI

31		}	RBRACE

32		else	ELSE

32		{	LBRACE

33		index	IDENTIFIER

33		=	EQ

33		0	INTEGERLITERAL

33		;	SEMI

34		}	RBRACE

35		return	RETURN

35		tmp	IDENTIFIER

35		;	SEMI

36		}	RBRACE

38		public	PUBLIC

38		boolean	BOOLEAN

38		isVoid	IDENTIFIER

38		(	LPAREN

38		)	RPAREN

38		{	LBRACE

39		boolean	BOOLEAN

39		flag	IDENTIFIER

39		;	SEMI

40		if	IF

40		(	LPAREN

40		0	INTEGERLITERAL

40		<	LT

40		messagelist	IDENTIFIER

40		.	DOT

40		length	LENGTH

40		)	RPAREN

40		{	LBRACE

41		flag	IDENTIFIER

41		=	EQ

41		false	FALSE

41		;	SEMI

42		}	RBRACE

43		else	ELSE

43		{	LBRACE

